Pop,MahalobisDist,SouthernEdgeDist,PAInorm814,PAInorm203,PAInorm174,PAInorm48,pq_814,pq_203,pq_174,pq_48
CBI,44.4164132839983,1510508.95292542,0.244939214813173,0.322839830415734,0.22756731837274,0.186596754882932,0.06518153,0.1090892,0.06772965,0.08263152
CHL,12.6262406399079,619981.15245104,0.0947320057781885,0.163395963316256,0.107034021427489,0.112586968237143,0.08085572,0.144186,0.08893966,0.09041042
CLK,12.9459326895709,1548460.97184176,0.100763999011779,0.210340641936,0.0966883289959069,0.118879509495886,0.0790734,0.1206756,0.08910868,0.07446396
CPL,8.34901170179034,695595.393643547,0.0755383718993459,0.106885896211833,0.0832553077459908,0.0826603564812877,0.08536711,0.1521595,0.08616787,0.08174208
CYH,15.5918830161202,1121558.97643055,0.159849527244717,0.241548885141693,0.151324468138389,0.1676675141049,0.06476373,0.1127824,0.08616686,0.08076522
DCK,11.0836767469764,1027382.96671425,0.10083237965312,0.206603649056641,0.100298352894937,0.0949039538422913,0.07950027,0.1178311,0.0870731,0.09083042
DPR,8.47669539991815,725548.343695734,0.0857196311758297,0.145081395895897,0.0908996123151816,0.0942475533025023,0.07873466,0.1438378,0.08924362,0.09085167
FIS,31.6345296137812,1801244.76718189,0.247592279340556,0.358146431824021,0.244858596301321,0.223027077254009,0.06726452,0.1120118,0.07221207,0.09641915
FNO,8.69561154126313,2413068.90070057,0.160710129398873,0.18548331253969,0.167996809926423,0.195352596727454,0.09996059,0.1508277,0.1077089,0.1087765
GAM,16.7801947786701,1058414.64657139,0.0627837725899828,0.103048484365468,0.0630260486473879,0.0604781287218923,0.09007442,0.1627997,0.09862086,0.09184312
HBY,6.78238710124943,1177956.87602172,0.100606712810038,0.185536996101556,0.119081089141337,0.13364100166084,0.08829756,0.1243327,0.09519707,0.09582833
HST,11.5708028705602,903469.446455819,0.0778380551173328,0.139963221441769,0.082931772055096,0.0903742447894304,0.08613585,0.1492317,0.09726316,0.08324333
HWK,38.6022107359836,2006788.61007089,0.261416504107442,0.345846188891538,0.254024920180401,0.201019095193099,0.06398601,0.0994968,0.06911339,0.08595426
KAP,13.2045348006632,896170.142885882,0.065076491992571,0.0957134535181542,0.0606989864956247,0.0670465430499152,0.09065904,0.1602527,0.09865126,0.08920146
LON,24.9345452180379,294997.055617406,0.0937047983493783,0.163037597493499,0.0971560571299794,0.134893804193706,0.07839028,0.1368371,0.08086853,0.04960417
LPD,11.9740254801674,652590.820799438,0.090188339691851,0.161505815721246,0.109295584822253,0.0879289616467288,0.079418,0.1420299,0.08387874,0.08051125
MBK,31.5024264913277,2114214.37939358,0.240095155333622,0.333021864956447,0.243341377234795,0.185487100998581,0.07050454,0.1160568,0.07408388,0.1002577
MMT,8.8140785025651,873177.51121403,0.0998656201572719,0.186714820991346,0.0976915193826822,0.131279450671783,0.08208552,0.1276579,0.08607241,0.07353688
NBY,8.42977938644493,674707.752090192,0.0733936737702229,0.118295469992665,0.0796121477535132,0.0700321561456396,0.08912697,0.1528677,0.09890316,0.09598646
NIC,13.811931469306,250774.796290302,0.130832338284485,0.230158043697663,0.16026744364443,0.111997554783984,0.06087963,0.1031404,0.06429598,0.05208333
OFR,8.49735789583322,1175397.51441722,0.10821206729215,0.205882647781648,0.114017447152318,0.11975405361296,0.08303042,0.122291,0.08343603,0.08451646
OUT,12.7193425917434,1123804.64021654,0.110532261155467,0.200584992283404,0.11218066489629,0.130004910359857,0.07714144,0.1202047,0.09135489,0.08279896
RAD,22.7109631709823,1449644.79937625,0.121136779626406,0.173316763862561,0.115340718784418,0.0936520536565327,0.09990276,0.1743706,0.1070757,0.1096823
SKN,8.89913344220394,1243549.64029901,0.10468190635332,0.205480203106675,0.113110998748313,0.111194195824862,0.0814336,0.1175873,0.09124178,0.09078521
SLC,8.34419479175333,661589.276908487,0.0866984600928132,0.154081271607572,0.0995601388750195,0.0996832778776656,0.08712945,0.1495479,0.0921169,0.07950417
SSR,62.5713132145557,710418.91285729,0.0960257377981791,0.142662798363732,0.0936775208515799,0.0965674000181885,0.07973461,0.129281,0.07683966,0.07579271
TIM,14.2989880023652,821849.740597834,0.0675225832162261,0.106758754239856,0.0737294467509661,0.0712046903560404,0.08707429,0.1524249,0.08384357,0.07368894
TUR,14.7496234169499,1391820.75300902,0.09917529737209,0.2009855106272,0.0939149409699207,0.0996459202283787,0.08314708,0.1244558,0.09223851,0.09021979
UMI,35.141460982184,1778826.75133991,0.172808492213977,0.259714959353379,0.170796072427336,0.157406672027306,0.08020136,0.1427874,0.08756667,0.1036413
USDA1,17.2674646906684,364364.331458623,0.104523268392459,0.152181334563989,0.107352381204656,0.0943175022480985,0.06914079,0.1259699,0.07968545,0.08529149
USDA10,16.8014496440322,385127.102569811,0.0919535894445598,0.143847802839338,0.0968063724839262,0.0899865393591471,0.07849518,0.1314944,0.07962262,0.09116771
USDA12,14.9265094580409,456984.719283653,0.11411781725658,0.181343905811638,0.122611600785528,0.125542907681256,0.07481319,0.1302222,0.07722229,0.08740652
USDA13,14.4833871718066,405382.680070759,0.0993966113221973,0.145640675654872,0.111022992123031,0.0959155891646322,0.07399342,0.134593,0.07489713,0.05976957
USDA14,14.5518589364224,354089.033680211,0.117428164403274,0.199040803550549,0.101728906181956,0.133642684872179,0.05602159,0.1107436,0.07156524,0.06801522
USDA15,13.0709342091968,475968.676362469,0.0932967874864804,0.140336131348979,0.116871137261826,0.0992132497678426,0.07883463,0.1423041,0.08834882,0.09281304
USDA16,19.1341325520622,478152.286231398,0.0894362849214538,0.129090944923963,0.0879016976508717,0.085538615082837,0.07376591,0.1311883,0.07170904,0.07744043
USDA17,17.0901667292686,511542.217279255,0.089179132134695,0.148497900815202,0.0952973069178819,0.0831632333111781,0.07728818,0.1357833,0.0772617,0.0767617
USDA18,18.2076064886821,448525.355944136,0.0919157593150792,0.126129221828203,0.0987477328168718,0.115064324800324,0.08028028,0.1389716,0.09332385,0.07691458
USDA19,16.4127086685785,406371.792152907,0.109036612220482,0.164863724245244,0.112636749469435,0.129869666807687,0.06498212,0.1203212,0.08399464,0.05887391
USDA2,14.3507482250602,392121.687744813,0.086227847833068,0.134519145992286,0.0798266250624897,0.0628584244278517,0.07447825,0.1280303,0.08570242,0.09141277
USDA21,14.8614312653852,303878.05558978,0.105848107957345,0.166031633528727,0.100326573009781,0.136707741585977,0.0663021,0.1231533,0.07653939,0.06012391
USDA3,20.0822039213575,448967.088626944,0.11416973704505,0.187089514920068,0.109277078521449,0.108528059502543,0.05625189,0.1048077,0.06408024,0.08643617
USDA4,10.2236257724898,531459.391134926,0.0958932201950802,0.151367335034444,0.0955381804062077,0.104159975258039,0.06987818,0.1178201,0.08178876,0.06543478
USDA5,12.889298458448,466410.70020058,0.0937915526680695,0.148318695354903,0.112520192136468,0.114653526907308,0.07490316,0.130655,0.08429091,0.07825455
USDA6,12.9870929036281,521885.266943309,0.133599113121882,0.214975322360835,0.126195029352711,0.146339508403361,0.06274867,0.1259921,0.06875,0.05654762
USDA7,8.59911082885661,577387.225829956,0.0991099854299993,0.176904989595457,0.110802124209004,0.106392172629234,0.06589961,0.1168,0.06544277,0.06558182
USDA8,10.6840882506639,566130.238944869,0.10452836204546,0.177847094046003,0.106412079837218,0.137382687650327,0.06306154,0.1175492,0.08206415,0.05632444
USDA9,12.0814865367249,520557.036552433,0.0966934022693055,0.150949204234048,0.112700207089574,0.108148150938073,0.07412913,0.1259526,0.08716706,0.1016426
VER,7.50954106896154,704329.924494891,0.117006550145112,0.182569900409666,0.124161242387274,0.137288634347923,0.06495917,0.1344214,0.05681404,0.06340435
WLK,20.8345278943538,2789781.3438174,0.179212646229436,0.200217584572192,0.187017662853232,0.201721892928435,0.09019898,0.1292284,0.1018153,0.1019283
WTR,23.3215285128598,745159.808142673,0.0882872982555574,0.141782408408665,0.089905319395739,0.0923234666283465,0.08462177,0.1489578,0.08796023,0.08267687
